Length,Width,Thickness,SharpEdgeWidth,Culture
5.1,3.5,1.4,0.2,Bear Culture
4.9,3.0,1.4,0.2,Bear Culture
4.7,3.2,1.3,0.2,Bear Culture
4.6,3.1,1.5,0.2,Bear Culture
5.0,3.6,1.4,0.2,Bear Culture
5.4,3.9,1.7,0.4,Bear Culture
4.6,3.4,1.4,0.3,Bear Culture
5.0,3.4,1.5,0.2,Bear Culture
4.4,2.9,1.4,0.2,Bear Culture
4.9,3.1,1.5,0.1,Bear Culture
5.4,3.7,1.5,0.2,Bear Culture
4.8,3.4,1.6,0.2,Bear Culture
4.8,3.0,1.4,0.1,Bear Culture
4.3,3.0,1.1,0.1,Bear Culture
5.8,4.0,1.2,0.2,Bear Culture
5.7,4.4,1.5,0.4,Bear Culture
5.4,3.9,1.3,0.4,Bear Culture
5.1,3.5,1.4,0.3,Bear Culture
5.7,3.8,1.7,0.3,Bear Culture
5.1,3.8,1.5,0.3,Bear Culture
5.4,3.4,1.7,0.2,Bear Culture
5.1,3.7,1.5,0.4,Bear Culture
4.6,3.6,1.0,0.2,Bear Culture
5.1,3.3,1.7,0.5,Bear Culture
4.8,3.4,1.9,0.2,Bear Culture
5.0,3.0,1.6,0.2,Bear Culture
5.0,3.4,1.6,0.4,Bear Culture
5.2,3.5,1.5,0.2,Bear Culture
5.2,3.4,1.4,0.2,Bear Culture
4.7,3.2,1.6,0.2,Bear Culture
4.8,3.1,1.6,0.2,Bear Culture
5.4,3.4,1.5,0.4,Bear Culture
5.2,4.1,1.5,0.1,Bear Culture
5.5,4.2,1.4,0.2,Bear Culture
4.9,3.1,1.5,0.1,Bear Culture
5.0,3.2,1.2,0.2,Bear Culture
5.5,3.5,1.3,0.2,Bear Culture
4.9,3.1,1.5,0.1,Bear Culture
4.4,3.0,1.3,0.2,Bear Culture
5.1,3.4,1.5,0.2,Bear Culture
5.0,3.5,1.3,0.3,Bear Culture
4.5,2.3,1.3,0.3,Bear Culture
4.4,3.2,1.3,0.2,Bear Culture
5.0,3.5,1.6,0.6,Bear Culture
5.1,3.8,1.9,0.4,Bear Culture
4.8,3.0,1.4,0.3,Bear Culture
5.1,3.8,1.6,0.2,Bear Culture
4.6,3.2,1.4,0.2,Bear Culture
5.3,3.7,1.5,0.2,Bear Culture
5.0,3.3,1.4,0.2,Bear Culture
7.0,3.2,4.7,1.4,Owl Culture
6.4,3.2,4.5,1.5,Owl Culture
6.9,3.1,4.9,1.5,Owl Culture
5.5,2.3,4.0,1.3,Owl Culture
6.5,2.8,4.6,1.5,Owl Culture
5.7,2.8,4.5,1.3,Owl Culture
6.3,3.3,4.7,1.6,Owl Culture
4.9,2.4,3.3,1.0,Owl Culture
6.6,2.9,4.6,1.3,Owl Culture
5.2,2.7,3.9,1.4,Owl Culture
5.0,2.0,3.5,1.0,Owl Culture
5.9,3.0,4.2,1.5,Owl Culture
