ANID,Alt_ID,Standard,Investigator,Source,Region,Country,State/Province,County/District,Subregion,Site_Name,Site_Number,Material,Ware,Ceramic_Type,Form,Exterior_Decoration,Interior_Decoration,Paste_Color,Major_Temper,Minor_Temper,Culture,Context,Provenience,Era/Period,Date_Range,Picture,Comments,Notes,Chemgrp,Spare_ANID,Long_RDF,Long_Date,Short_RDF,Short_Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
GMP001,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,n/a,,n/a,,GMP001,AMB2,04/13/14,ADF1-S,04/11/14,13.808,31.011,0.384,25.331,6.101,4.202,2.785,62.092,14.354,33.781,8.078,1.219,41121.5,4.504,0.000,100.315,3.091,16.076,180.943,0.687,0.949,11.693,102.389,134.239,85528.0,504.3,14244.3,4.251,19868.5,879.8,11383.3,4860.9,117.7
GMP002,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP002,AMB2,04/13/14,ADF1-S,04/11/14,15.712,28.909,0.384,40.023,6.270,3.455,2.535,59.037,14.507,33.034,8.126,1.237,42341.2,4.313,0.000,99.698,3.301,16.429,140.323,0.727,0.973,11.774,106.790,128.146,84291.0,491.0,14103.6,3.979,17577.7,937.6,10884.3,4471.7,119.0
GMP003,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP003,AMB2,04/13/14,ADF1-S,04/11/14,20.534,25.983,0.369,27.267,5.455,3.899,2.667,53.925,12.563,32.418,7.179,1.205,37837.1,5.199,0.000,87.838,2.862,14.756,164.313,0.731,0.874,8.898,99.652,154.268,79324.6,557.5,13546.8,3.255,16001.5,710.9,17478.3,4139.0,120.9
GMP004,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP004,AMB2,04/13/14,ADF1-S,04/11/14,8.339,27.654,0.377,23.345,5.651,4.677,2.774,56.745,12.051,29.780,7.594,1.182,38805.1,5.158,0.000,99.715,2.325,15.627,177.726,0.728,0.594,10.904,94.974,153.187,91631.5,547.1,16952.5,4.177,19046.2,744.6,12144.9,5602.5,121.1
GMP005,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP005,AMB2,04/13/14,ADF1-S,04/11/14,32.849,24.667,0.409,21.267,5.763,4.400,2.564,51.557,13.746,35.750,8.663,1.123,43321.9,3.932,0.000,106.320,2.389,15.828,151.444,0.696,0.943,11.439,106.613,120.762,94324.8,533.4,10256.3,4.289,22621.7,685.9,19269.2,4518.5,133.8
GMP006,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP006,AMB2,04/13/14,ADF1-S,04/11/14,28.713,25.993,0.420,33.367,6.241,3.571,2.655,52.679,14.801,38.599,8.792,1.183,48421.8,5.311,0.000,101.890,2.987,17.837,112.427,0.766,0.697,11.571,112.805,175.028,91034.9,481.4,12832.0,3.982,20161.9,742.6,19471.1,5372.2,145.6
GMP007,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP007,AMB2,04/13/14,ADF1-S,04/11/14,22.902,33.695,0.455,27.635,6.858,5.834,3.156,70.154,16.084,48.031,7.566,1.346,42983.9,7.941,0.000,94.387,2.403,17.212,140.354,0.988,0.895,12.496,106.200,221.544,85141.6,533.1,14259.9,4.557,18404.8,986.8,18616.9,4597.4,132.7
GMP008,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP008,AMB2,04/13/14,ADF1-S,04/11/14,19.628,25.355,0.400,23.221,5.725,4.274,2.828,54.274,14.950,35.100,8.479,1.171,47125.7,6.731,0.000,104.900,3.072,18.150,126.749,0.729,0.892,10.924,103.512,198.103,89901.0,498.7,14865.9,3.617,20609.4,947.0,12795.5,4850.8,151.6
GMP009,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP009,AMB2,04/13/14,ADF1-S,04/11/14,28.633,24.486,0.325,21.528,5.199,4.254,2.397,50.328,11.579,32.519,7.108,1.091,37864.6,4.769,0.000,92.794,2.151,13.951,128.806,0.706,0.612,10.147,66.815,143.139,81880.4,559.6,13163.5,3.907,21475.6,672.8,18058.6,4697.0,122.8
GMP010,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP010,AMB2,04/13/14,ADF1-S,04/11/14,25.360,27.548,0.435,22.592,5.723,6.178,2.661,55.434,10.356,37.662,7.098,1.117,39300.6,5.347,0.000,93.444,2.418,15.560,169.316,0.748,0.575,11.749,97.290,153.358,84153.4,401.3,12761.9,3.490,19675.7,518.5,17496.0,4691.2,121.2
GMP011,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP011,AMB2,04/13/14,ADF1-S,04/11/14,24.410,29.827,0.401,37.291,6.319,4.557,2.856,60.146,16.021,37.855,8.332,1.214,44955.3,4.514,0.000,105.204,2.818,16.784,162.248,0.680,0.628,11.769,109.053,131.823,89786.3,613.3,12761.7,3.742,22042.0,949.9,16149.6,4784.0,117.1
GMP012,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP012,AMB2,04/13/14,ADF1-S,04/11/14,23.261,25.635,0.397,34.537,6.036,4.283,2.507,52.776,15.370,34.271,8.354,1.182,47045.0,5.929,0.000,113.914,2.883,17.194,136.499,0.755,0.937,15.150,79.984,156.139,88583.7,477.1,13424.6,3.430,19646.7,1009.7,19934.4,4542.5,131.5
GMP013,,SRM-1633b,"Matsumoto, Go",Sicán Archaeological Project,South America,Peru,Lambayeque,Ferreñafe,La Leche Valley,Sicán,,Pottery,Earthenware,Plainware,Bowl/Plate,plain,plain,,,,Sicán Culture,feasting area,Great Plaza,Middle Sicán Period,,,,,,GMP013,AMB2,04/13/14,ADF1-S,04/11/14,24.751,29.447,0.398,38.118,6.448,5.173,2.915,59.079,13.681,33.771,7.364,1.179,42991.0,5.656,0.000,92.583,3.238,15.606,158.180,0.795,0.646,19.078,98.143,163.367,86903.1,516.4,14877.1,4.147,23600.6,829.6,16994.1,4996.4,131.7
