Mean Chronology  (Calibrated BP - 1950) ,Wild Terrestrial Fauna ,Avian Fauna ,Aquatic Fauna,Indet. Bones,Bovids,Cattle (Bos taurus/indicus),Sheep/Goat (Ovis/Capra Indet.),Iron Smelting,Iron Use,Ceramics,coastalforestmosaic,drycoastalwoodedgrassland,drynorthernwoodedgrassland,drysouthernwoodedgrassland,forest/wood/grasslandmosaic,montaneforest,comoros,kenya,madagascar,rwanda,tanzania
1470.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1475.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1562.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1608.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1193.5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
846.0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
863.0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
846.5,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
845.0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
830.0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1456.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1267.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1506.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1617.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2029.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1306.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2161.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1536.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1589.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1531.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1095.5,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
875.5,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
953.0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
847.0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
952.5,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
809.5,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
1307.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
658.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1152.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1567.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1585.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1711.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1697.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1100.0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
762.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1073.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
494.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1504.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1087.0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
524.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
528.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
409.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1076.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1071.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1116.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1182.5,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
397.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
578.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
487.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1069.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
859.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
720.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
613.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
997.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
787.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1132.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1070.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1008.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
929.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
869.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1069.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
997.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
1048.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1352.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1117.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
588.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
588.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
594.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
599.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2966.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4097.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
