,Mean Chronology  (Calibrated BP - 1950) ,Wild Terrestrial Fauna ,Avian Fauna ,Aquatic Fauna,Indet. Bones,Bovids,Cattle (Bos taurus/indicus),Sheep/Goat (Ovis/Capra Indet.),Iron Smelting,Iron Use,Ceramics,coastalforestmosaic,drycoastalwoodedgrassland,drynorthernwoodedgrassland,drysouthernwoodedgrassland,forest/wood/grasslandmosaic,montaneforest,comoros,kenya,madagascar,rwanda,tanzania
0,1470.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,1475.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2,1562.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,1608.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
4,1193.5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
5,846.0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
6,863.0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7,846.5,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
8,845.0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
9,830.0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
10,1456.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
11,1267.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
12,1506.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13,1617.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
14,2029.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
15,1306.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
16,2161.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
17,1536.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
18,1589.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
19,1531.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
20,1095.5,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
21,875.5,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
22,953.0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
23,847.0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
24,952.5,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
25,809.5,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
26,1307.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
27,658.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
28,1152.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
29,1567.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
30,1585.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
31,1711.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
32,1697.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
33,1100.0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
34,762.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
35,1073.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
36,494.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
37,1504.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
38,1087.0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
39,524.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
40,528.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
41,409.5,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
42,1076.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
43,1071.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
44,1116.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
45,1182.5,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
46,397.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
47,578.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
48,487.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
49,1069.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
50,859.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
51,720.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
52,1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
53,613.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
54,997.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
55,787.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
56,1132.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
57,1070.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
58,1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
59,1008.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
60,929.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
61,869.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
62,1069.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
63,1067.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
64,997.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
65,1048.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
66,1352.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
67,1117.0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
68,588.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
69,588.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
70,594.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
71,599.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
72,2966.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
73,4097.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
74,473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
75,473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
76,473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
77,473.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
